692;PUNTO MAS UTIL;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 6 No.4A-77 CJTO SANTAMARIA;8604373
693;PUNTO Y APARTE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CAR. 3 A No. 3 a - 33 sur;8570286
694;PUNTO Y COMA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 23 No. 27-33 BOGOTA D.C.;3404011
695;QUE AREPA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CRA 3 3-16;8603655
696;QUESOS DEL CAMPO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 2 No 8-67;8600929
697;RADIOSISTEMAS PETROLEROS Y ASISTENTES LIMITADA RADIOSYSTEM;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;EL LIBANO;3112486442
698;RANCHO  CAQUECEÑO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CRA 3 No. 7 -18;8757496
699;RANCHO Y VIVERES LA EGRITA;TIENDA DE VIVERES, RANCHO Y LICORES;47;COMERCIO AL POR MENOR;CALLE 63 B No. 26 - 24;3452381
700;RB HIDRAULICOS SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 4 No. 7-32;8609141
701;REAL PIO BROASTER LA CALERA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CRA 4 No. 7-32;8609141
702;REMATES 7 ESQUINAS;MISCELÁNEA;47;COMERCIO AL POR MENOR;CARRERA 4 No 7 - 32;8609141
703;REMONTADORA LOS PRIMOS;ZAPATERIA;95;MANTENIMIETNO Y REPARACIÓN DE COMPUTADORES EFECTOS PERSONALES Y ENSERES DOMESTICOS;ALTAMAR-ALTO DE LAS AREPAS;8603596
704;REPARACIONES TECNICAS LA CALERA;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CRA 3 No. 9-62;8602848
705;REPUESTOS PARA MOTOCICLETAS BLANCO;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CARRERA 19 A No. 116 - 19 OF 104;2154412
706;RESTAURANTE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2  No 4-97;8603150
707;RESTAURANTE BAR EL CRISTAL;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CALLE 4 No. 3-15;8600332
708;RESTAURANTE CHEZ THERESE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 6 No. 5-54;8752053
709;RESTAURANTE CLUB GANADERO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CALLE 8 BIS No.2A-14;3142527087
710;RESTAURANTE CON VENTA DE LICOR;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AVENIDA 2 No.9-16;3203773035
711;RESTAURANTE DON PARRILLON;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 6;8601787
712;RESTAURANTE EL SALITRE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AVENIDA 2 No. 8 - 36;3138922380
713;RESTAURANTE KURNIK;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 7 VIA LA CALERA;5202031
714;RESTAURANTE PEÑITA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE FERIAS;
715;RESTAURANTE REFUGIO COLONIAL;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CARRERA 10 No. 53 - 80 APARTAMENTO 12021;8608059
716;RESTAURANTE ROSITA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;LA PORTADA;8601558
717;RESTAURANTE SALADITO J.R;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 10 POSTE 129;8609194
718;RESTAURANTE TATICOS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VDA EL SALITRE VIA LA CALERA;8609156
719;RESTAURANTE TOLIMENSE 2;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No 3-45;8603344
720;RESTAURANTE VICKY;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;K 4 No 6-45;8601038
721;RESTAURANTE VILLA PERUANA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 8 No  2-16;8601268
722;RESTAURANTE VITA NUOVA E.U;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;EL SALITRE;8609554/3173759105
723;RESTAURANTE Y BAR EL SABOR DEL CAMPO;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO;3123744365
724;RESTAURANTE Y PIQUETEADERO DÑA ROSITA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 3;8601313
725;RESTAURANTE Y PIQUETEADERO TOLIMENSE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 4;3125927725
726;RESTAURATE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV 2 No. 8.66 ;8602222
727;RESTAUTANTE ESPINDOLA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;AV. PASEO REAL No. 3.38;3104363174
728;RETAURANTE PAISITA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;MARQUEZ - FCA EL MANZANO;8606326
729;RICURAS DE LA CASA;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;PLAZA DE MERCADO LOCAL 1 Y 30;8601199
730;RINCON DEL TEUSACA EVENTOS Y CONVENCIONES LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VIA LA CALERA, 400 METROS DESPUES DEL PEAJE;
731;RINCON VALLUNO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;KM 10 VIA LA CALERA;8740175
732;RINPER ELECTRONICA;ELECTRICOS;47;COMERCIO AL POR MENOR;AV 2 No 3-28;8602506
733;RLAC;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;VDA SAN JOSE  FCA EL RECREO;8606546
734;ROCIO Y BELLEZA PELUQUERIA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;C 13 No 3-25;8603105
735;ROCKOLA Y POLA;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VDA EL HATO FCA SAN JOSE  ;3235158
736;ROMPRICOL CIA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No  9-55;3204566167
737;ROPA INTERIOR;ALMACEN;47;COMERCIO AL POR MENOR;TRAV 5 No 3-36;8601013
738;ROYAL GAME;VIDEO JUEGOS;93;ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;AV 2 ENSEGUIDA DE POLLO ARDIENTE;8601305
739;SABOR DEL PACIFICO;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;C 12 No 6-05  B. EL PARAISO ;8757599
740;SABOR Y SAZON;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 7 No. 2B-34 OFC  306 ;8600683
741;SAFIRO DE COLOMBIA LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 8 No. 6-30;8600213
742;SALA DE BELLEZA D'YIRE;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CLL 6 No. 3-45;3103249335
743;SALA DE BELLEZA KBELLOS;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;LA PORTADA;8603103
744;SALA DE BELLEZA LEIDY;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CALLE 6 No. 4 - 43 INT 3;8603027
745;SALA DE BELLEZA LUX;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;PLAZA DE MERCADO;8601071
746;SALA DE BELLEZA RUSSI;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;KM 10 VIA LA CALERA EL SALITRE;8609122
747;SALA DE BELLEZA Y FLORISTERIA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;K 7 No 8 46;3124062422-3177468434/8757593
748;SALA DE BELLEZA Y PELUQUERIA;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CRA 3 No. 3-93;3114701327
749;SALON DE BELLEZA ;SALA DE BELLEZA;96;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES;CRA. 3 No. 3 - 89;8601660
750;SALON DE ONCES MARIA FERNANDA;CAFETERÍA;47;COMERCIO AL POR MENOR;K 4 No 7-65;8751184
751;SALUD INTEGRAL O&D;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;K 4 No 9-69;8602762
752;SALUD VISUAL M Y G;OPTICA ;#N/A;#N/A;C 6 No 6-67;3123773093
753;SALUD Y VIDA NATURSANAR;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;CLUB PRADERA POTOSI;8747000 EXT 190
754;SAN FRANCISCO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 9-47;3204412946
755;SAN JORGE;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 9 No 3-44;8604486
756;SANICOC SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 6 No 6-53 C.C.LA CASONA LOCAL 106;8751814
757;SANTA LUCIA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 No. 3 - 87;3214037672
758;SEBASTIAN SPORT;ALMACEN;47;COMERCIO AL POR MENOR;VDA EL HATO;8608947
759;SECURITAS COLOMBIA SA;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;CALLE 49 SUR No. 72B - 17;6200694
760;SEGURIDAD ATLAS LTDA;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;VEREDA SAN CAYETANO;3112977860
761;SEGURIDAD MOVIL DE COLOMBIA S.A.;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;AV 2 No 1-74;8602289
762;SEGURO AIE;VIGILANCIA PRIVADA;80;ACTIVIDADES DE SEGURIDAD E INVESTIGACION PRIVADA;EL RODEO;8602383
763;SERMAR LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 7 No 1-33;8601686
764;SERVIC MOTOS PARRA;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CRA 17 No. 36-62 BOGOTA;7425301
765;SERVICIO AUTOMOTRIZ BERMUDEZ;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CARRERA 2 No. 31 - 41 CALI - VALLE;3923000
766;SERVICIO AUTOMOTRIZ M.P;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CLL 67 No. 7-35 PISO 9 BOGOTA D.C.;3469610
767;SERVICIO DE TORNO;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CALLE 7 No. 4 - 27;8600400
768;SERVICIO ELECTRICO AUTOMOTRIZ;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CALLE 82 No. 10 - 39 P.4;3265310
769;SERVICIOS  DE INGENIERIA  MECANICA, TOPOGRAFIA  Y CIVIL S .A S;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;VDA EL TRIUNFO;8606411
770;SERVICIOS DOCUMENTALES Y ASESORIAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 3-07;8603344
771;SERVIEQUIPOS MANTENIMIENTO LTDA;REPARACION DE ELECTRODOMESTICOS;95;MANTENIMIETNO Y REPARACIÓN DE COMPUTADORES EFECTOS PERSONALES Y ENSERES DOMESTICOS;LA PORTADA;8600583
772;SERVIMOTOS;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CALLE 2 No. 4 - 45 PISO 2;8609983
773;SERVIPLAS;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;AV 2 No 11-19;3204430552
774;SERVIREPUESTO J.R;REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES, ;CALLE 7 No. 4 - 95  PISO 1;8757545
775;SERVISONY;REPARACION DE ELECTRODOMESTICOS;95;MANTENIMIETNO Y REPARACIÓN DE COMPUTADORES EFECTOS PERSONALES Y ENSERES DOMESTICOS;C 6 No 5-14;8600167
776;SERVITEL TELECOMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2B  No. 10-21 ;8757637
777;SERVITRANS;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";K 3 No 9-53;8600257
778;SHOESMAX;ALMACEN;47;COMERCIO AL POR MENOR;Carrera 4 No. 8 - 80 Sector Las Escuelas;8603323
779;SIETT CUNDINAMARCA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 4-06;8601137
780;SIONAP COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;PLAZA DE MERCADO KIOSCO 8;8751320
781;SISTEMAS CONSTRUCTIVOS AVANZADOS S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 10A No. 2B -15;8601427
782;SISTEMAS Y SERVICIO ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AVENIDA 2 No.  8 - 24;8742177
783;SISTEMAS Y SERVICIOS DDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 167 No. 54 D - 53;4870478
784;SISTEMAS Y SERVICIOS HL SYS EU;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 2 No. 10A-15;2587662
785;SOCCER CINCO;RECREACIÓN Y DEPORTE;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;C 9 No 3-57;8752320
786;SOCIEDAD DIAZ CRUZ LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA. 42 No. 75 - 125;3755241
787;SOLUCIONES INMOBILIARIAS LA CALERA S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 4 No 7-82;8757483
788;SOLUCIONES TECNOLOGICAS PROYECTOS LTDA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 7-62;8757313
789;SOPITAS DEL CARAJO CAMPESTRE;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CLL 7 No. 2B 34 LOCAL 301;8600689
790;SOPITAS TIPICAS;RESTAURANTE;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;VEREDA EL SALITRE ;8600813
791;SRC INGENIEROS CIVILES S.A.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CLL 12 No.3A-06;8600667
792;SU CASITA DE DESCANSO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 7 No. 2  B - 34  LOCAL 301;8604210-8601223
793;SUEÑO FLEX;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 8B No. 107 23;2145219
794;SUEÑOS SALUDABLES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KILOMETRO 12.5 VIA LA CALERA;5200379
795;SUPERMERCADO 4 ESQUINAS;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 3 No 3  77;8602900
796;SUPERMERCADO ALTO DE LA VIRGEN;SUPERMERCADO;47;COMERCIO AL POR MENOR;AVENIDA 82 No. 12 - 18 OF 503;6105911
797;SUPERMERCADO CENTRO LA POLONIA;SUPERMERCADO;47;COMERCIO AL POR MENOR;CLL 18 No. 1 A - 42;8752313
798;SUPERMERCADO CERROS DE LA PITA;SUPERMERCADO;47;COMERCIO AL POR MENOR;CARRERA 4 No. 7 - 24;7754343
799;SUPERMERCADO DIANITA;SUPERMERCADO;47;COMERCIO AL POR MENOR;AV 2 No 5-24;8604225
800;SUPERMERCADO LA GRANJA CALERUNA;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 2 No 3-23;8602849
801;SUPERMERCADO LAS GEMELAS;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 7 No 7-76;8601203
802;SUPERMERCADO MANANTIAL;SUPERMERCADO;47;COMERCIO AL POR MENOR;LA POLONIA;3144318778
803;SUPERMERCADO MERCAMAS;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 8 No 8-08;
804;SUPERMERCADO NATALY;SUPERMERCADO;47;COMERCIO AL POR MENOR;LA PORTADA;8751644
805;SUPERMERCADO OK;SUPERMERCADO;47;COMERCIO AL POR MENOR;AVENIDA 2 No. 5 - 29;8757828
806;SUPERMERCADO OLIVAN;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 9 No 3-75;8601242
807;SUPERMERCADO SAN JOSE;SUPERMERCADO;47;COMERCIO AL POR MENOR;C 9 No 1A-36 ESTE;8601858
808;SUPERMERCADO SAN JOSE;SUPERMERCADO;47;COMERCIO AL POR MENOR;CARRERA 7 No. 8 - 52;
809;SUPERMERCADO SKALA;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 4 No 2-90;3114429717/321207290
810;SUPERMERCADOS LAIYVEL;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 7 No 8-18;3132914760
811;SUPERTIENDA ALTO DE LA VIRGEN;SUPERMERCADO;47;COMERCIO AL POR MENOR;CRA 4 No. 7-39 ;8600165
812;SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A.;SUPERMERCADO;47;COMERCIO AL POR MENOR;K 10 No 8-15;3124289359
813;SUPERTIENSA EL LLANERAZO;SUPERMERCADO;47;COMERCIO AL POR MENOR;EL HATO;8608683
814;SURTIBOLSAS Y  DESECHABLES;PLASTICOS;47;COMERCIO AL POR MENOR;KM 10 EL SALITRE;8609055
815;SURTIEXPRES LA CALERA;ALMACEN;47;COMERCIO AL POR MENOR;CRA 3 No. 7-36;8606081
816;SURTIFLOWER EL NORTEÑO;SUPERMERCADO;47;COMERCIO AL POR MENOR;CRA 7 No. 8-02;3208021411
817;SURTITODO;BAR;56;ACTIVIDADES DE SERVICIOS DE COMIDAS Y BEBIDAS;CRA 3 No. 6-56 ;8600059
818;SV IMAGEN CORPORATIVA INTEGRAL S.A.S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARA 4 No. 4 - 38;3112276907
819;TABERNA MANO VISO;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;C 8 No 2A- 45;8602257
820;TACITO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 2 NO. 4 - 23;8757566
821;TALABARTERIA J Y R;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;cl 9 No. 2a - 12;3125937855
822;TALLER COMPIR;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;VDA TUNJAQUE;3132518215
823;TALLER DE ARTES PARA NIÑOS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CL 7 No. 8 95;8602327
824;TALLER DE LATONERIA JBA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;C 7 No 4-08;8600193
825;TALLER DE LAURA JULIANA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;LA PORTADA;3123683060/8600582
826;TALLER DE MECANICA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;C 6 No 6-53 CC. LA CASONA LOCAL 102;8757011
827;TALLER DE MENTES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;K 3 No 3-77 AV PASEO REAL;8602650
828;TALLER DE ORNAMENTACION C.M.M;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CRA 7A No. 84-52 APTO 504 ;6111643/3134517022
829;TALLER DE ORNEMENTACION  GMM;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;K 2A No 10-33;
830;TALLER DE PAZ;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CENTRO COMERCIAL ARTESANAL LOCAL 1-03;8602064
831;TALLER DE SOLDADURA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;AV 2 No. 6-53;8601565
832;TALLER DE SOLDADURA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;KM 8 VIA LA CALERA;8609263
833;TALLER EL RENUEVO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;C 5 No 2-30;8603067
834;TALLER PINTU-CAR;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;C 5 No 2-30;8603067
835;TALLERES AYALA;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CARRERA 3 No. 3-74;3115787283
836;TALLERES BENJAMIN VARGAS;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;AV 2 No 9-39;8600304
837;TALLERES EL AGUILA;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CARRERA 2 A No. 10 - 38 B ;3112348086
838;TALLERES LOS LOPEZ;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CALLE 6 No. 5-34;3123835163
839;TAO COMUNICACIONES;TELECOMUNICACIONES;61;TELECOMUNICACIONES;EL RODEO;8602199
840;TAPICERIA LA PORTADA;ALMACEN DE MUEBLES-ELECTRODOMESTICOS;47;COMERCIO AL POR MENOR;CALLE 9 No. 1 - 64;3112031015
841;TAPON CORONA DE COLOMBIA S.A.S.;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;AV 2 No 1-05;
842;TAX CALERA LTDA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";C 7 No 2-29;8601817
843;TAX GLOBAL;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";K 4 No 10A -25;3115773247
844;TAXGLOBAL LTDA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";CLL 6 No. 4A-31;8757393
845;TCCG TRANSPORTADORA DE CARGA;TRANSPORTE DE PASAJEROS;49;"TRANSPORTE TERRESTRE; TRANSPORTE POR TUBERÍAS";LA PORTADA;8601910-3134834403
846;TEC TRADE SAS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRT OCC KM 14;8293700
847;TECNISERVICIOS MARTINEZ;TALLER DE MECÁNICA AUTOMOTRÍZ;45;COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, SUS PARTES;CLL 8 No. 1-08;8600302
